match_id,season_year,date,stage,home,away,home_score,away_score,home_pens,away_pens,extra_time,penalties,total_shots,total_xg,largest_xg_swing,largest_xg_swing_window,xg_lead_changes,xg_first_15_home,xg_first_15_away,xg_last_15_home,xg_last_15_away,xg_home_0-15,xg_away_0-15,xg_diff_0-15,xg_home_15-30,xg_away_15-30,xg_diff_15-30,xg_home_30-45,xg_away_30-45,xg_diff_30-45,xg_home_45-60,xg_away_45-60,xg_diff_45-60,xg_home_60-75,xg_away_60-75,xg_diff_60-75,xg_home_75-90plus,xg_away_75-90plus,xg_diff_75-90plus
28,2026,2026-06-19,Group Stage,MEX,KOR,1,0,,,False,False,17,1.2087,0.3514,60-75_to_75-90plus,3,0.0478,0.0,0.2342,0.5856,0.0478,0.0,0.0478,0.059,0.0,0.059,0.0,0.1114,-0.1114,0.1357,0.035,0.1007,0.0,0.0,0.0,0.2342,0.5856,-0.3514
29,2026,2026-06-19,Group Stage,USA,AUS,2,0,,,False,False,17,1.798,0.5459,30-45_to_45-60,3,0.0913,0.1234,0.0,0.0346,0.0913,0.1234,-0.0321,0.3686,0.0,0.3686,0.7204,0.0,0.7204,0.1745,0.0,0.1745,0.0,0.2852,-0.2852,0.0,0.0346,-0.0346
30,2026,2026-06-19,Group Stage,SCO,MAR,0,1,,,False,False,18,1.5081,0.5869,30-45_to_45-60,0,0.0,0.1296,0.2738,0.1445,0.0,0.1296,-0.1296,0.0,0.0115,-0.0115,0.0,0.5441,-0.5441,0.1961,0.1533,0.0428,0.0447,0.0105,0.0342,0.2738,0.1445,0.1293
31,2026,2026-06-20,Group Stage,BRA,HAI,3,0,,,False,False,18,1.9144,0.6085,0-15_to_15-30,0,0.0,0.0,0.3506,0.094,0.0,0.0,0.0,0.6085,0.0,0.6085,0.3331,0.0,0.3331,0.3105,0.1092,0.2013,0.0,0.1085,-0.1085,0.3506,0.094,0.2566
32,2026,2026-06-20,Group Stage,TUR,PAR,0,1,,,False,False,41,2.5342,0.9824,60-75_to_75-90plus,1,0.1938,0.0591,1.2586,0.1141,0.1938,0.0591,0.1347,0.0956,0.0,0.0956,0.1219,0.0528,0.0691,0.288,0.0,0.288,0.2562,0.0941,0.1621,1.2586,0.1141,1.1445
33,2026,2026-06-20,Group Stage,NED,SWE,5,1,,,False,False,26,3.4664,0.7878,15-30_to_30-45,0,0.585,0.0329,0.0923,0.1202,0.585,0.0329,0.5521,0.6625,0.0816,0.5809,0.0297,0.2366,-0.2069,1.1023,0.5233,0.579,0.0,0.0,0.0,0.0923,0.1202,-0.0279
34,2026,2026-06-20,Group Stage,GER,CIV,2,1,,,False,False,25,3.0512,0.7634,45-60_to_60-75,2,0.1356,0.0939,0.5387,0.0247,0.1356,0.0939,0.0417,0.0583,0.0,0.0583,0.0801,0.6599,-0.5798,0.3483,0.4467,-0.0984,0.665,0.0,0.665,0.5387,0.0247,0.514
35,2026,2026-06-21,Group Stage,ECU,CUW,0,0,,,False,False,39,3.6466,1.0305,60-75_to_75-90plus,0,0.5723,0.0511,0.2081,0.0,0.5723,0.0511,0.5212,0.4538,0.024,0.4298,0.0727,0.1082,-0.0355,0.379,0.0654,0.3136,1.4753,0.2367,1.2386,0.2081,0.0,0.2081
36,2026,2026-06-21,Group Stage,TUN,JPN,0,4,,,False,False,17,2.4404,1.392,0-15_to_15-30,1,0.0142,1.4062,0.0314,0.262,0.0142,1.4062,-1.392,0.0,0.0,0.0,0.0,0.0294,-0.0294,0.0439,0.0271,0.0168,0.0,0.6262,-0.6262,0.0314,0.262,-0.2306
37,2026,2026-06-21,Group Stage,ESP,KSA,4,0,,,False,False,28,3.9805,0.7831,15-30_to_30-45,0,0.7745,0.0,0.9411,0.0244,0.7745,0.0,0.7745,0.9083,0.0,0.9083,0.2068,0.0816,0.1252,0.5735,0.0294,0.5441,0.4409,0.0,0.4409,0.9411,0.0244,0.9167
38,2026,2026-06-21,Group Stage,BEL,IRN,0,0,,,False,False,31,2.5276,0.3172,15-30_to_30-45,0,0.2987,0.1628,0.377,0.1384,0.2987,0.1628,0.1359,0.2219,0.0974,0.1245,0.4417,0.0,0.4417,0.4921,0.2054,0.2867,0.0693,0.0229,0.0464,0.377,0.1384,0.2386
39,2026,2026-06-21,Group Stage,URU,CPV,2,2,,,False,False,30,3.3589,0.9481,45-60_to_60-75,0,0.3053,0.0,0.3879,0.4635,0.3053,0.0,0.3053,0.0747,0.0389,0.0358,0.988,0.0117,0.9763,0.558,0.0403,0.5177,0.0301,0.4605,-0.4304,0.3879,0.4635,-0.0756
40,2026,2026-06-22,Group Stage,NZL,EGY,1,3,,,False,False,31,3.4283,0.8326,30-45_to_45-60,2,0.0839,0.0401,0.8514,0.3737,0.0839,0.0401,0.0438,0.2398,0.1351,0.1047,0.0,0.0737,-0.0737,0.2741,1.1804,-0.9063,0.0164,0.1597,-0.1433,0.8514,0.3737,0.4777
41,2026,2026-06-22,Group Stage,ARG,AUT,2,0,,,False,False,18,3.257,1.1406,60-75_to_75-90plus,0,0.7884,0.0,1.4043,0.082,0.7884,0.0,0.7884,0.0,0.2371,-0.2371,0.2605,0.0,0.2605,0.0,0.0522,-0.0522,0.3071,0.1254,0.1817,1.4043,0.082,1.3223
42,2026,2026-06-22,Group Stage,FRA,IRQ,3,0,,,False,False,24,3.0704,0.897,30-45_to_45-60,0,0.2563,0.0,0.7124,0.3756,0.2563,0.0,0.2563,0.0,0.1647,-0.1647,0.0419,0.0,0.0419,0.9389,0.0,0.9389,0.5198,0.0608,0.459,0.7124,0.3756,0.3368
43,2026,2026-06-23,Group Stage,NOR,SEN,3,2,,,False,False,29,3.7961,0.7664,15-30_to_30-45,0,0.3313,0.0125,0.3417,0.9112,0.3313,0.0125,0.3188,0.0,0.1541,-0.1541,0.6677,0.0554,0.6123,0.7578,0.4871,0.2707,0.0,0.0773,-0.0773,0.3417,0.9112,-0.5695
44,2026,2026-06-23,Group Stage,JOR,ALG,1,2,,,False,False,26,2.897,0.5052,15-30_to_30-45,3,0.1525,0.0352,0.0,0.6755,0.1525,0.0352,0.1173,0.0266,0.1676,-0.141,0.7795,0.4153,0.3642,0.0092,0.1139,-0.1047,0.119,0.4027,-0.2837,0.0,0.6755,-0.6755
