match_id,season_year,competition,date,home,away,home_score,away_score,total_shots,total_xg,largest_xg_swing,largest_xg_swing_window,xg_lead_changes,xg_first_15_home,xg_first_15_away,xg_last_15_home,xg_last_15_away,xg_home_0-15,xg_away_0-15,xg_diff_0-15,xg_home_15-30,xg_away_15-30,xg_diff_15-30,xg_home_30-45,xg_away_30-45,xg_diff_30-45,xg_home_45-60,xg_away_45-60,xg_diff_45-60,xg_home_60-75,xg_away_60-75,xg_diff_60-75,xg_home_75-90plus,xg_away_75-90plus,xg_diff_75-90plus
29129,2526,PL,2026-05-10,BUR,AVL,2,2,33,3.4757,1.1122,30-45_to_45-60,6,0.5034,0.1888,0.1118,0.3348,0.5034,0.1888,0.3147,0.2989,0.0594,0.2395,0.0318,0.7637,-0.7319,0.7071,0.3268,0.3803,0.0677,0.0814,-0.0137,0.1118,0.3348,-0.2231
29130,2526,PL,2026-05-10,CRY,EVE,2,2,34,5.3992,1.1132,45-60_to_60-75,1,0.1824,0.3473,1.6312,0.4039,0.1824,0.3473,-0.1649,0.1292,0.4945,-0.3654,0.2026,0.2209,-0.0183,0.2317,0.5352,-0.3035,0.9151,0.1053,0.8098,1.6312,0.4039,1.2273
29131,2526,PL,2026-05-09,FLH,BOU,0,1,24,2.2413,0.7482,60-75_to_75-90plus,2,0.1507,0.0969,0.1389,0.6547,0.1507,0.0969,0.0539,0.4788,0.0,0.4788,0.1838,0.0,0.1838,0.0588,0.2465,-0.1877,0.2324,0.0,0.2324,0.1389,0.6547,-0.5158
29132,2526,PL,2026-05-09,LIV,CHE,1,1,14,1.2204,0.6147,30-45_to_45-60,3,0.3826,0.0402,0.0136,0.1127,0.3826,0.0402,0.3424,0.0,0.037,-0.037,0.0,0.4073,-0.4073,0.2074,0.0,0.2074,0.0196,0.0,0.0196,0.0136,0.1127,-0.0991
29133,2526,PL,2026-05-09,MCI,BRE,3,0,29,5.1121,2.3195,60-75_to_75-90plus,0,0.0479,0.0,0.2724,0.565,0.0479,0.0,0.0479,1.6711,0.0192,1.6519,0.2897,0.0,0.2897,0.1342,0.0858,0.0484,2.0269,0.0,2.0269,0.2724,0.565,-0.2927
29134,2526,PL,2026-05-10,NOT,NEW,1,1,33,3.1166,1.5226,60-75_to_75-90plus,6,0.0,0.0995,0.6449,0.0126,0.0,0.0995,-0.0995,0.1389,0.0699,0.069,0.3825,0.4156,-0.0331,0.2067,0.073,0.1337,0.0913,0.9817,-0.8903,0.6449,0.0126,0.6322
29135,2526,PL,2026-05-09,SUN,MUN,0,0,26,1.7834,0.4109,0-15_to_15-30,0,0.6317,0.0404,0.0345,0.1894,0.6317,0.0404,0.5913,0.2519,0.0714,0.1805,0.1657,0.0,0.1657,0.0,0.2386,-0.2386,0.1597,0.0,0.1597,0.0345,0.1894,-0.1549
29136,2526,PL,2026-05-11,TOT,LED,1,1,27,3.3683,1.3756,45-60_to_60-75,2,0.0,0.0411,0.2264,0.6577,0.0,0.0411,-0.0411,0.1875,0.2297,-0.0421,0.5929,0.0574,0.5354,0.4918,0.0,0.4918,0.0,0.8839,-0.8839,0.2264,0.6577,-0.4313
29137,2526,PL,2026-05-10,WHU,ARS,0,1,24,2.8413,0.9071,0-15_to_15-30,0,0.0,1.0402,0.6967,0.1071,0.0,1.0402,-1.0402,0.0,0.1332,-0.1332,0.4414,0.0405,0.4008,0.149,0.0423,0.1067,0.0359,0.1551,-0.1192,0.6967,0.1071,0.5895
29138,2526,PL,2026-05-19,BOU,MCI,1,1,24,3.0077,0.4811,0-15_to_15-30,3,0.477,0.12,0.6639,0.4014,0.477,0.12,0.357,0.0,0.1241,-0.1241,0.0636,0.0215,0.0421,0.273,0.5286,-0.2556,0.2531,0.0814,0.1718,0.6639,0.4014,0.2625
